FPR,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.26277921,,0.135996589,0.432683296,,0.83882893,,,,0.83
0.317045455,,0.322487364,0.617817565,,0.838317932,,,,0.977472527
0.313306962,,0.481446969,0.713850827,,0.842324323,,,,0.995652174
0.341076605,,0.553001681,0.769450744,,0.827166667,,,,0.956666667
0.322570621,,0.672887176,0.842029603,,0.846418224,,,,0.997435897
