FPR,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.001030928,,0,0.055879614,,0.549071091,,,,0
0.032954545,,0.020098039,0.206500563,,0.571640859,,,,0.021428571
0.09125,,0.155079365,0.285273052,,0.553475697,,,,0.053162055
0.106086957,0.710264478,0.44325,0.466560506,,0.695301343,,,,0.168602151
0.260112994,,0.417143754,0.510137434,,0.655070259,,,,0.400641026
