FPR,NPV,PPV,PR-AUC-Trapezoid,ROC-AUC-Built-in,ROC-AUC-Trapezoid,TN,TNR,TP,TPR
0.528071306,,0.07324578,0.381642238,,0.680063359,,,,0.88
0.622727273,,0.172077021,0.513125876,,0.637746628,,,,0.858791209
0.632816456,,0.299269354,0.582355172,,0.655299398,,,,0.943280632
0.582587992,,0.41931348,0.693800251,,0.693718026,,,,0.95344086
0.499039548,,0.54645915,0.727148427,,0.673943394,,,,0.736474359
